session_id;network_packet_size;protocol_type;login_attempts;session_duration;encryption_used;ip_reputation_score;failed_logins;browser_type;unusual_time_access;attack_detected
SID_00063;278;TCP;8;35.430.271.017.360.700;AES;0.5116026457176248;2;Edge;0;1
SID_00064;260;UDP;6;7.653.837.210.156.120;AES;0.5402342873210285;1;Chrome;0;0
SID_00065;662;TCP;3;12.134.042.121.411.600;None;0.4544121864022344;1;Safari;0;0
SID_00066;771;ICMP;6;1.158.071.232.246.100;None;0.13577850482188178;2;Chrome;1;0
SID_00067;485;TCP;5;1.772.622.948.174.790;None;0.4362987418285402;2;Chrome;0;0
SID_00068;700;TCP;6;14.267.642.254.528.300;DES;0.19976663083962784;4;Chrome;0;1
SID_00069;572;TCP;10;10.122.699.508.672.400;DES;0.16445734799244172;1;Chrome;0;1
SID_00070;370;TCP;1;11.053.806.022.240.400;AES;0.4086537168997098;2;Chrome;0;1
SID_00071;572;TCP;6;13.178.935.947.961.700;AES;0.20539178765762972;0;Edge;0;0
SID_00072;807;TCP;3;1.455.576.779.684.160;AES;0.6271547548524079;0;Unknown;0;1
SID_00073;492;TCP;4;34.791.805.418.370.000;AES;0.2638643281334985;1;Edge;0;1
SID_00074;812;UDP;7;12.179.139.195.544.100;DES;0.651720998102494;2;Chrome;0;1
SID_00075;64;TCP;6;23.840.286.686.884.200;None;0.5125115429611737;1;Chrome;0;0
SID_00076;664;TCP;3;21.217.659.606.312.900;None;0.10556028572070338;0;Chrome;0;0
SID_00077;517;TCP;5;3.954.966.375.410.110;DES;0.3360337531065149;1;Edge;0;1
SID_00078;440;UDP;5;6.012.054.049.063.270;DES;0.3466523484514337;1;Chrome;0;0
SID_00079;518;UDP;7;1.954.101.798.830.050;AES;0.4472088363848736;0;Chrome;0;1
SID_00080;102;TCP;3;20.184.893.233.966.300;None;0.20807831966246604;2;Edge;0;0
SID_00081;456;TCP;5;10.846.893.562.306.800;DES;0.10976250984890182;2;Firefox;0;0
SID_00082;571;TCP;5;1.101.401.768.015.540;DES;0.4818222137601502;2;Chrome;1;0
SID_00083;795;TCP;6;16.141.886.098.890.500;AES;0.17965202842302827;2;Chrome;0;1
SID_00084;396;TCP;6;16.798.526.967.503.100;None;0.6107440107285588;0;Chrome;0;1
SID_00085;338;UDP;2;4.313.095.534.963.730;AES;0.32548556964131914;1;Edge;0;0
SID_00086;399;TCP;3;5.469.722.169.261.100;None;0.5954335496002904;0;Chrome;0;0
SID_00087;683;TCP;5;3.123.613.276.488.570;AES;0.3415719127620866;3;Firefox;0;1
SID_00088;565;TCP;8;12.751.964.209.032.000;AES;0.1981503877084024;2;Chrome;1;1
SID_00089;394;UDP;4;19.077.965.331.945.000;AES;0.38401499470902695;1;Chrome;0;1
SID_00090;602;TCP;4;11.582.192.978.072.500;AES;0.28269953542744236;1;Chrome;1;1
SID_00091;519;TCP;3;41.875.359.206.704.700;AES;0.5074718561537545;2;Firefox;1;0
SID_00092;693;TCP;4;14.939.682.434.919.500;DES;0.7465329921047918;2;Edge;0;1
SID_00093;359;TCP;4;41.320.774.817.989.800;AES;0.3961354801328169;3;Chrome;0;1
SID_00094;434;UDP;7;15.240.632.797.670.800;DES;0.26537508764838863;0;Firefox;0;1
SID_00095;421;TCP;7;8.502.462.962.444.680;DES;0.7363071667506592;3;Safari;0;1
SID_00096;207;UDP;4;8.695.488.497.403.960;AES;0.1801952291959206;3;Firefox;0;1
SID_00097;559;TCP;3;13.364.809.719.223.200;AES;0.28045950502213196;1;Safari;0;0
SID_00098;552;TCP;2;3.365.280.380.665.790;AES;0.31197249830662727;0;Firefox;0;0
SID_00099;501;UDP;3;12.658.898.099.183.800;AES;0.359586097716788;2;Firefox;0;0
SID_00100;453;TCP;5;17.487.198.977.443.300;AES;0.4396989559319573;2;Firefox;0;0
SID_00101;216;TCP;6;3.396.289.336.863.750;AES;0.792908723614886;0;Edge;0;1
SID_00102;415;TCP;2;2.945.849.672.223.410;AES;0.20468127108735373;3;Chrome;0;1
SID_00103;431;TCP;2;8.933.142.787.527.950;AES;0.021302682574162887;2;Firefox;0;0
SID_00104;339;TCP;3;1.526.475.054.745.360;DES;0.40868098195241004;2;Firefox;0;0
SID_00105;467;ICMP;1;25.051.902.247.693.100;AES;0.20998862020930154;2;Chrome;0;0
SID_00106;580;ICMP;3;7.335.772.844.904.810;DES;0.24224524982769494;2;Chrome;0;0
SID_00107;877;TCP;4;5.139.203.055.468.030;None;0.18151566365328348;0;Edge;0;1
SID_00108;534;TCP;4;11.343.759.248.662.800;None;0.6356549060949741;2;Chrome;0;1
SID_00109;551;TCP;5;1.344.486.704.150.750;DES;0.21533563891854884;0;Firefox;0;0
SID_00110;485;TCP;6;9.346.336.107.579.040;DES;0.40633122750735196;2;Chrome;0;0
SID_00111;116;TCP;4;1.080.449.674.152.330;AES;0.46236870986740236;0;Edge;0;0
SID_00112;494;TCP;6;21.552.768.731.587.700;AES;0.4082261331463432;1;Firefox;0;0
SID_00113;512;TCP;6;704.422.488.537.655;DES;0.22127325867107223;1;Chrome;1;0
SID_00114;992;TCP;2;7.618.596.818.225.020;DES;0.04253898891518918;1;Firefox;0;0
SID_00115;461;TCP;3;1.634.686.997.948.400;DES;0.09022441462475474;1;Edge;0;1
SID_00116;560;TCP;5;9.102.548.697.823.170;DES;0.293848130472684;2;Chrome;0;0
SID_00117;493;UDP;1;4.282.643.311.411.910;DES;0.4271570441204733;1;Unknown;0;0
SID_00118;266;TCP;5;26.580.179.500.946.100;None;0.3106996126499128;2;Safari;1;1
SID_00119;728;TCP;9;14.939.483.851.057.700;DES;0.3440707492302625;0;Chrome;0;1
SID_00120;650;TCP;9;7.582.441.511.370.570;None;0.3970540586315398;1;Chrome;1;1
SID_00121;658;TCP;3;36.423.142.648.438.900;DES;0.42281825352781666;1;Chrome;0;0
SID_00122;318;TCP;2;17.168.731.834.652.800;DES;0.17354759696802569;1;Edge;0;0
SID_00123;780;TCP;5;4.468.001.253.098.630;None;0.5133769785913413;1;Chrome;0;0
SID_00124;219;ICMP;4;476.720.891.871.051;DES;0.0839245230551094;3;Firefox;1;1
SID_00125;617;TCP;5;20.778.093.270.932.500;AES;0.756641279217048;1;Firefox;0;1
SID_00126;938;TCP;5;18.163.190.836.745.400;AES;0.32895252857642826;2;Firefox;0;0
SID_00127;301;TCP;6;1.837.197.582.739.340;AES;0.26393138354352536;2;Firefox;0;0
SID_00128;386;ICMP;1;3.412.234.567.916.190;None;0.2923132031445906;1;Chrome;1;0
SID_00129;519;UDP;8;20.427.649.588.398.000;AES;0.23377532585858174;3;Chrome;0;1
SID_00130;399;UDP;6;1.139.689.059.842.400;AES;0.7173627311559833;1;Chrome;0;1
SID_00131;189;TCP;1;4.394.449.986.840.700;AES;0.324800802082674;2;Chrome;0;0
SID_00132;513;ICMP;3;8.030.822.652.641.980;AES;0.14535383078285471;0;Chrome;1;0
SID_00133;287;TCP;6;10.238.892.419.769.600;None;0.06383880799900075;1;Chrome;0;1
SID_00134;594;TCP;9;11.135.448.828.433.000;AES;0.2015363761915499;1;Firefox;0;1
SID_00135;316;UDP;3;4.208.242.964.449.340;DES;0.1010497118158562;0;Chrome;0;1
SID_00136;809;UDP;4;4.253.231.749.395.690;AES;0.1840217502247818;1;Unknown;0;1
SID_00137;343;TCP;5;14.147.818.469.631.600;AES;0.10997889468651378;3;Edge;1;1
SID_00138;435;TCP;4;6.796.785.160.847.330;AES;0.251661490626902;3;Safari;0;1
SID_00139;662;TCP;1;11.857.797.753.569.200;AES;0.506076780728524;2;Chrome;0;0
SID_00140;253;TCP;1;8.979.900.818.952.350;DES;0.23803868192362163;4;Unknown;0;1
SID_00141;545;TCP;4;45.588.912.093.711.600;AES;0.2624537715319337;3;Unknown;0;1
SID_00142;761;ICMP;1;9.596.300.158.997.270;AES;0.1775413015405739;2;Chrome;0;0
SID_00143;178;TCP;3;11.890.700.511.572.300;AES;0.28634068891262937;1;Edge;1;0
SID_00144;536;UDP;3;3.320.943.080.741.140;DES;0.7033341839914414;0;Firefox;0;1
SID_00145;551;UDP;3;12.035.341.894.452.300;DES;0.11789149733293185;2;Chrome;0;0
SID_00146;656;TCP;5;11.519.651.057.221.500;AES;0.34520664616447866;1;Chrome;0;0
SID_00147;252;UDP;4;17.471.974.055.008.400;AES;0.30649593647988294;0;Firefox;0;1
SID_00148;235;TCP;3;755.434.368.901.311;AES;0.2509659861114192;3;Chrome;0;1
SID_00149;604;TCP;3;2.280.568.942.195.510;None;0.8039075882980276;0;Chrome;0;1
SID_00150;559;TCP;3;6.526.355.940.282.590;AES;0.13252668524295172;2;Chrome;0;0
SID_00151;550;TCP;1;5.552.444.851.752.030;None;0.36504179764976746;2;Chrome;0;0
SID_00152;569;UDP;7;17.573.628.085.127.900;None;0.51671417169513;1;Chrome;1;1
SID_00153;363;ICMP;6;12.070.821.332.288.100;AES;0.3510400422582782;2;Chrome;0;0
SID_00154;546;TCP;5;9.422.728.647.931.100;AES;0.3436559596851325;1;Chrome;0;0
SID_00155;558;UDP;9;49.407.664.627.087.400;DES;0.31443163410414626;2;Safari;0;1
SID_00156;357;TCP;9;7.291.081.297.639.250;DES;0.19953731668446373;2;Edge;0;1
SID_00157;873;UDP;3;10.746.754.869.926.500;DES;0.05122628058672245;2;Chrome;0;0
SID_00158;594;TCP;3;9.724.720.087.836.850;AES;0.40768594562267296;4;Chrome;0;1
SID_00159;261;TCP;10;37.677.038.577.631.300;None;0.24069929967697973;1;Safari;0;1
SID_00160;631;TCP;6;1.385.095.628.371.250;AES;0.10060363254657502;1;Chrome;0;0
SID_00161;305;TCP;6;15.777.168.112.486.800;AES;0.34691659007072806;1;Edge;0;0
SID_00162;657;TCP;6;18.368.540.664.047.400;None;0.14727939671367105;3;Chrome;0;1
SID_00163;731;UDP;5;15.546.376.149.090.500;DES;0.25492262754135936;2;Firefox;0;1
SID_00164;335;TCP;3;7.509.414.290.852.900;DES;0.12309678522027008;3;Chrome;0;1
SID_00165;692;UDP;7;7.257.763.899.065.390;None;0.5231976202835485;2;Chrome;0;1
SID_00166;582;UDP;5;17.725.689.478.516.500;AES;0.2328323308098431;1;Chrome;0;0
SID_00167;664;TCP;8;4.171.159.065.866.950;AES;0.37106422907280934;2;Edge;0;1
SID_00168;879;TCP;5;5.149.798.031.536.430;None;0.10100166312296177;0;Firefox;0;1
SID_00169;450;UDP;1;50.849.628.287.021.300;AES;0.25777048564441196;2;Chrome;0;0
SID_00170;349;TCP;8;6.454.298.805.334.840;AES;0.242800051494813;1;Chrome;0;1
SID_00171;322;TCP;1;6.378.327.848.930.260;AES;0.19991126910649915;1;Chrome;0;0
SID_00172;336;TCP;2;1.385.347.758.456.170;None;0.11711557654436118;2;Chrome;0;1
SID_00173;484;TCP;5;12.238.102.732.316.300;AES;0.3957542090094353;1;Chrome;1;1
SID_00174;568;ICMP;5;10.533.158.665.799.600;DES;0.1891346709377445;2;Edge;0;1
SID_00175;555;TCP;5;20.893.902.977.348.800;AES;0.551708412894967;1;Chrome;0;0
SID_00176;665;TCP;6;6.409.945.335.485.610;DES;0.5003713391880107;3;Firefox;0;1
SID_00177;502;TCP;12;12.497.694.954.987.100;DES;0.2982140196718431;1;Firefox;0;1
SID_00178;790;UDP;4;6.171.441.467.446.680;DES;0.1969726328712207;2;Firefox;0;1
SID_00179;447;UDP;3;25.743.773.882.813.700;AES;0.06768154311491659;0;Firefox;1;0
SID_00180;1044;TCP;4;5.109.845.736.621.580;AES;0.5004393941360112;2;Edge;0;0
SID_00181;625;TCP;1;14.916.272.442.087.700;AES;0.22923960776502283;3;Chrome;0;1
SID_00182;328;TCP;4;12.834.300.381.717.100;None;0.27908773107727364;2;Chrome;0;0
SID_00183;285;TCP;7;13.094.982.959.554.800;DES;0.25465666969031137;2;Chrome;1;1
SID_00184;596;TCP;2;49.702.132.412.144.800;AES;0.11791791643593835;2;Chrome;0;0
SID_00185;455;ICMP;2;2.906.566.794.998.650;None;0.4049464294212396;2;Firefox;0;0
SID_00186;642;TCP;1;4.105.743.325.044.240;None;0.2535139501498699;2;Chrome;0;0
SID_00187;594;TCP;4;6.223.103.994.578.040;AES;0.8110277884368354;2;Chrome;0;1
SID_00188;485;UDP;4;5.534.633.422.524.300;DES;0.09149837715254354;2;Chrome;0;0
SID_00189;330;TCP;2;12.212.443.528.436.600;AES;0.5509077290494483;0;Edge;0;0
SID_00190;197;TCP;7;1.038.028.280.833.900;AES;0.444103086563627;2;Edge;0;1
SID_00191;410;TCP;5;11.165.696.274.923.800;AES;0.3910043614883334;1;Edge;0;0
SID_00192;671;TCP;4;14.725.326.581.431.800;DES;0.10935434518091745;3;Unknown;0;1
SID_00193;542;UDP;5;1.610.939.607.653.420;AES;0.31073307376498377;1;Firefox;1;0
SID_00194;250;TCP;4;18.092.309.581.506.800;AES;0.17527625147275183;1;Chrome;0;0
SID_00195;534;TCP;7;2.496.887.261.332.680;DES;0.24513229647478882;1;Chrome;0;1
SID_00196;577;TCP;5;5.464.134.538.770.190;None;0.2994484351708427;1;Edge;0;0
SID_00197;323;UDP;5;29.597.993.653.136.200;DES;0.27763276195028896;1;Chrome;0;0
SID_00198;530;TCP;5;3.919.421.775.186.520;DES;0.30160538572178786;2;Firefox;0;0
SID_00199;511;TCP;2;1.311.458.838.080.160;AES;0.13891478999396353;2;Chrome;0;0
SID_00200;271;ICMP;3;6.673.328.621.639.510;DES;0.08636301976462228;3;Chrome;0;1
SID_00201;571;TCP;5;33.069.417.239.531.600;DES;0.09896058358135756;0;Firefox;0;0
SID_00202;612;UDP;3;1.875.349.141.621.200;DES;0.5341956729663283;2;Safari;0;0
SID_00203;716;TCP;3;5.258.007.876.672.440;None;0.0806761863988792;2;Chrome;0;0
SID_00204;710;TCP;2;33.375.180.613.210.900;DES;0.3712473480414219;3;Firefox;0;1
SID_00205;224;TCP;5;8.195.606.827.516.340;DES;0.2634839803106942;2;Edge;0;0
SID_00206;312;TCP;4;16.578.967.328.136.300;AES;0.2363722399848674;1;Chrome;0;0
SID_00207;603;TCP;8;20.448.178.511.422.500;AES;0.6514337877152981;3;Chrome;0;1
SID_00208;602;TCP;7;42.227.882.690.644.800;AES;0.21509486011467946;3;Edge;0;1
SID_00209;603;TCP;1;29.889.867.876.731.100;DES;0.27608965247415784;2;Chrome;0;0
SID_00210;1270;TCP;5;10.315.238.151.002.400;DES;0.7746157586048802;1;Chrome;0;1
SID_00211;614;TCP;7;7.002.644.400.491.940;AES;0.14881494549519864;3;Chrome;0;1
SID_00212;727;ICMP;2;945.454.259.300.091;AES;0.6518286335567869;1;Chrome;0;1
SID_00213;690;TCP;8;3.572.019.170.732.960;None;0.21284226938215828;1;Chrome;0;1
SID_00214;630;ICMP;3;44.188.132.577.627.100;AES;0.33794037016960526;2;Edge;0;0
SID_00215;436;TCP;2;7.060.315.237.925.220;AES;0.35945745106323995;0;Chrome;0;0
SID_00216;651;TCP;7;3.166.108.122.061.140;AES;0.2730883183996028;2;Chrome;0;1
SID_00217;345;TCP;3;11.716.183.429.982.200;None;0.3820914343646016;1;Unknown;1;1
SID_00218;452;UDP;4;23.130.575.269.547.200;AES;0.17588986008134588;3;Safari;0;1
SID_00219;402;UDP;6;12.748.733.430.770.300;AES;0.4186859064025884;1;Chrome;0;1
SID_00220;516;TCP;7;13.204.816.019.596.300;DES;0.25691585843342396;2;Chrome;1;1
SID_00221;962;UDP;3;1.960.975.201.486.780;AES;0.5667834471156061;1;Chrome;1;0
SID_00222;126;TCP;2;11.189.978.077.851.900;AES;0.25130531110365123;1;Chrome;0;1
SID_00223;637;TCP;7;2.442.875.861.075.140;None;0.12382836584601561;1;Chrome;0;1
SID_00224;177;ICMP;3;1.269.336.265.254.220;None;0.1129417568750118;1;Firefox;0;0
SID_00225;405;UDP;5;12.255.001.480.117.100;AES;0.7302739057014698;0;Chrome;0;1
SID_00226;717;ICMP;3;23.797.180.227.640.500;AES;0.6146206048540265;2;Unknown;0;1
SID_00227;512;TCP;2;6.071.129.061.945.850;AES;0.42760294318720976;3;Chrome;1;1
SID_00228;284;TCP;5;14.556.345.742.064.200;AES;0.4726292422226099;1;Firefox;0;0
SID_00229;356;TCP;5;11.171.621.572.909.500;AES;0.24121433569502596;1;Chrome;0;0
SID_00230;635;TCP;10;1.501.823.588.577.860;AES;0.07249008152975217;3;Firefox;0;1
SID_00231;353;UDP;5;38.638.098.406.554.000;AES;0.4272224955366141;0;Chrome;0;0
SID_00232;543;TCP;4;14.351.076.801.543.500;None;0.1640873775537933;0;Edge;0;0
SID_00233;509;TCP;5;6.277.560.611.350.960;AES;0.6633916285008086;2;Chrome;0;1
SID_00234;369;TCP;4;19.448.929.953.258.500;DES;0.4417840130620103;1;Chrome;0;0
SID_00235;928;TCP;5;31.171.111.237.301.200;AES;0.21923787973272774;2;Chrome;0;0
SID_00236;626;TCP;6;149.326.854.401.643;DES;0.4875925572606101;1;Chrome;0;1
SID_00237;94;TCP;3;7.208.595.471.285.290;AES;0.16730034409455027;2;Chrome;0;0
SID_00238;537;UDP;4;123.145.768.962.121;AES;0.31750206890381644;0;Chrome;0;0
SID_00239;367;TCP;6;7.644.650.684.422.290;None;0.5522961048967473;1;Chrome;0;0
SID_00240;670;UDP;4;6.122.670.042.320.590;DES;0.6324729460357419;2;Chrome;0;1
SID_00241;341;TCP;4;4.751.521.218.829.630;DES;0.11424641765443913;1;Chrome;0;1
SID_00242;477;TCP;5;9.681.034.736.152.230;None;0.17633419954005064;0;Chrome;0;0
SID_00243;600;TCP;3;9.588.035.428.495.620;None;0.31794561382687275;1;Edge;0;0
SID_00244;673;UDP;5;44.190.985.118.413.900;AES;0.24576491077630633;3;Chrome;0;1
SID_00245;259;TCP;3;21.349.648.104.766.600;AES;0.5920401183622336;3;Firefox;0;1
SID_00246;433;TCP;3;14.724.075.257.417.400;DES;0.4633481759121942;3;Edge;1;1
SID_00247;405;TCP;10;14.389.705.935.042.300;AES;0.5711969542396962;1;Chrome;0;1
SID_00248;369;TCP;3;6.108.665.546.296.130;AES;0.3074823935664694;2;Firefox;0;0
SID_00249;853;UDP;4;943.877.265.223.019;AES;0.39724642481489625;3;Firefox;0;1
SID_00250;580;UDP;2;8.148.292.492.241.780;None;0.12500708054490692;2;Chrome;0;0
SID_00251;247;TCP;5;7.715.329.877.113.120;DES;0.1275830500381217;2;Chrome;0;1
SID_00252;683;TCP;3;868.966.499.861.094;None;0.2953639630114019;0;Chrome;0;0
SID_00253;924;UDP;6;16.677.557.175.305.800;AES;0.2884500333340842;2;Chrome;0;0
SID_00254;706;TCP;4;3.637.989.546.346.420;AES;0.24893284636035107;2;Firefox;1;0
SID_00255;196;TCP;3;7.898.782.430.060.230;AES;0.2640141983689803;1;Chrome;0;0
SID_00256;403;TCP;3;9.551.300.120.826.250;None;0.27278849683384365;1;Chrome;0;0
SID_00257;753;TCP;2;713.915.926.948.315;AES;0.5568005749245504;2;Edge;0;0
SID_00258;358;TCP;2;18.664.572.315.837.200;DES;0.44773808347627925;1;Safari;1;0
SID_00259;588;UDP;2;8.508.558.379.069.220;DES;0.2079475511776274;4;Chrome;0;1
SID_00260;654;TCP;6;4.419.142.581.175.920;DES;0.09917348145527412;0;Edge;0;0
SID_00261;314;TCP;6;1.494.500.082.454.990;DES;0.08055713538253069;3;Safari;0;1
SID_00262;488;UDP;5;5.379.982.787.042.740;AES;0.2962939229915175;0;Chrome;0;0
SID_00263;64;TCP;4;604.296.028.734.614;AES;0.24560920484688306;1;Chrome;0;1
SID_00264;295;TCP;4;6.983.541.920.212.040;DES;0.45338784465732795;4;Firefox;0;1
SID_00265;449;TCP;2;311.812.813.564.501;AES;0.30144760181272523;1;Chrome;0;0
SID_00266;250;TCP;4;10.256.623.175.854.300;AES;0.14315855350144743;2;Chrome;0;0
SID_00267;826;UDP;9;8.262.453.258.190.550;AES;0.39014166473249245;1;Chrome;0;1
SID_00268;213;UDP;3;16.251.259.879.496.700;AES;0.2948380134293726;1;Chrome;0;0
SID_00269;411;TCP;4;11.236.896.964.634.600;AES;0.08098371817550205;1;Chrome;0;0
SID_00270;526;UDP;3;34.910.877.723.244.600;None;0.23875021048573433;2;Chrome;0;1
SID_00271;788;TCP;5;20.535.313.763.445.200;DES;0.30511700835069366;2;Edge;1;0
SID_00272;212;UDP;6;3.926.850.037.634.330;AES;0.3699865367207026;1;Chrome;1;0
SID_00273;732;TCP;2;1.308.020.307.909.560;AES;0.19190465735152087;4;Edge;0;1
SID_00274;502;TCP;6;2.566.391.556.980.130;None;0.21731596555545263;3;Chrome;0;1
SID_00275;303;TCP;4;5.047.755.404.096.490;None;0.03613923561137907;1;Chrome;0;0
SID_00276;592;TCP;1;23.454.194.250.047.700;None;0.408215129621812;2;Edge;0;0
SID_00277;539;TCP;2;16.632.422.532.826.500;AES;0.13537681175141764;2;Safari;0;1
SID_00278;379;TCP;4;42.733.213.938.305.500;DES;0.7082677300966431;1;Firefox;0;1
SID_00279;513;UDP;4;957.593.324.494.753;AES;0.2103723487670503;1;Chrome;0;1
SID_00280;422;TCP;5;35.439.962.301.749.500;AES;0.03952554508329426;1;Safari;0;1
SID_00281;522;ICMP;7;3.200.235.284.583.740;AES;0.7191215189351108;1;Firefox;0;1
SID_00282;632;TCP;6;3.154.692.574.902.970;AES;0.38128496346323715;2;Firefox;0;0
SID_00283;817;TCP;7;9.069.969.209.771.170;None;0.2076923991581579;1;Chrome;0;1
SID_00284;252;UDP;5;26.647.602.536.271.600;DES;0.3229205459042479;2;Firefox;0;0
SID_00285;926;TCP;6;1.867.013.391.561.710;AES;0.2648246677824046;1;Chrome;0;0
